Sample,PLASMA01,PLASMA02,PLASMA03,PLASMA05,PLASMA06,PLASMA07,QC1,QC2,QC3,QC4,QC5,QC6,SERUM01,SERUM02,SERUM03,SERUM04,SERUM05,SERUM06,WB01,WB02,WB03,WB04,WB05,WB06
Label,Plasma,Plasma,Plasma,Plasma,Plasma,Plasma,QC,QC,QC,QC,QC,QC,Serum,Serum,Serum,Serum,Serum,Serum,whole_blood,whole_blood,whole_blood,whole_blood,whole_blood,whole_blood
319.8868__39.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1316723.31073,1269005.55456,1774097.60689,1489520.03719,1800574.08169,1340752.50362
320.7168__38.37,NA,NA,15143.75273,16073.07603,NA,NA,NA,160642.8513,147104.77463,82639.66877,58311.52083,56812.52215,NA,NA,NA,NA,NA,NA,2443173.37614,3098234.84206,3352167.4976,2857728.9619,3093505.70604,2605660.97399
320.9045__44.45,NA,NA,NA,26046.923,13273.12256,NA,NA,NA,NA,NA,NA,14578.93103,331179.08411,451834.12276,502173.63899,557458.93369,402418.29981,433481.89605,NA,NA,NA,NA,NA,NA
322.122__56.65,NA,NA,NA,NA,NA,NA,598621.62514,467441.4439,782027.87536,730514.19592,710333.06922,765437.33395,NA,NA,NA,NA,NA,NA,1292713.90863,3819094.39135,2528345.2128,1849843.60554,2245057.79693,5422445.15201
322.8111__38.22,1809116.5919,1337963.59037,1465715.28231,1683646.69873,1888569.5756,1543571.48571,2286982.32158,2178108.32371,2133167.4292,2026592.69043,2215770.25349,2107591.42068,13726211.46857,13730231.56489,14468103.84956,13159399.42124,13199087.03879,14061212.61584,1655969.04853,337716.51766,2169509.90141,1703312.11911,1933582.68867,1555465.87588
323.6795__60.41,NA,NA,NA,NA,NA,NA,72713.65064,74239.62942,94767.02178,68963.30487,148588.63782,121602.02305,NA,NA,NA,NA,NA,NA,375879.01704,455970.32484,78946.59548,NA,75304.34708,329690.80812
324.0015__47.67,35802220.51403,31095419.97496,29715361.38424,28368052.20558,27380779.89977,23872009.73351,28746780.85823,25485795.45018,18408410.10275,13701469.53672,13344546.97527,11788735.06509,NA,NA,NA,NA,NA,NA,11507445.48849,9674839.09306,11724132.67285,10971918.66576,10481326.59499,10095006.51321
327.0152__39.26,475150.79028,475512.91285,480364.89081,833905.42501,425672.6261,630685.07836,121791.94003,178413.88323,185569.22796,72084.23486,345162.15764,235350.04087,2208405.85548,1762341.67568,1930224.59039,2327405.95119,2956687.06265,2246181.36424,NA,NA,NA,NA,NA,NA
328.1391__68.01,NA,NA,NA,NA,NA,NA,833607.99274,938864.84999,911175.85699,764243.37776,923238.40149,1269359.66979,4939.86857,NA,NA,NA,NA,NA,3148798.06238,1868879.58778,1909766.02229,2694355.97395,2715544.02081,3033006.02487
328.8977__37.14,1364635.71632,3516594.33146,1316193.72132,1618257.1802,3063954.29699,1312804.89862,2577894.52314,1214034.43802,1304733.71278,2545505.89803,1151667.58587,1323178.70089,1871806.36951,1522198.59288,1729366.87147,1719622.76748,1576328.2952,1712301.03665,350554.69374,514669.01857,3160714.45316,3250709.65069,NA,383285.14079
329.1423__51.32,129934.98976,102176.82471,56497.70381,102225.7422,75054.20125,189652.89161,129820.77961,121783.70497,133130.65056,151847.65352,132517.48546,185024.18223,559403.40372,187466.19798,372925.29484,264494.88159,524601.12531,377588.33383,35260.85465,NA,12319.22973,NA,30717.04941,75706.43734
332.0574__42.84,9470089.64861,1123914.43957,871990.26108,10103751.91331,10295671.64165,12336982.29558,6572962.80369,1870319.78853,1581545.97768,8846652.59072,1713408.29114,1769605.34904,7691960.64985,6594451.73078,6116642.95919,5449070.65777,6228995.86889,6901665.13218,22786610.52515,25175162.25089,25120785.79673,27753108.46508,22887240.06755,21477731.67971
336.8343__38.18,1249740.758,1105978.75228,1086862.4246,1327887.93426,624916.36626,491187.03017,664535.79996,529219.88122,373680.10441,541343.1521,854536.67314,544021.75349,2760581.67943,3451664.91849,3431537.47412,3268559.11426,3298479.05929,3412382.04198,NA,NA,NA,NA,460027.00939,NA
337.0145__54.76,3997200.06583,5196949.76629,5535863.01647,5090610.3961,6096671.52649,6057055.33819,3925187.2833,4530889.39248,5261136.99659,5065782.34095,6240933.68863,4643228.8496,NA,NA,NA,NA,NA,NA,4379663.05136,4420052.53276,6703667.09615,5168194.99517,3746530.63154,5476017.63684
337.0618__42.37,228614995.26601,247644532.71993,255380239.24427,243808245.54445,250437667.87447,257321369.87805,139486096.2929,151052407.85295,177075207.02912,166792477.71006,172625037.5066,162272294.71027,NA,257331.68228,269997.38508,NA,NA,237771.81449,4176680.0493,83265445.86108,94577140.93849,104376530.49119,3836972.50478,3790292.21954
338.7852__38.22,1697101.80992,1678333.58403,1867723.6071,1735147.90055,1989452.35805,1827668.41551,2647165.8525,2561349.29798,2668387.24983,2640513.66462,2488242.18727,2687860.20296,2005683.40104,2110626.26164,2094567.47801,2085263.21657,1977182.37737,1997444.5308,875827.92269,728823.08417,712258.17994,705521.9211,877971.18968,945549.33512
339.038__43.14,1301129.56565,1365674.75934,928348.55097,1660332.64528,1453148.37566,1195500.19334,666195.9052,1949074.38817,2686738.2697,630287.02733,3951572.64014,3557025.37645,2131166.06959,1544855.05871,1342989.32894,981907.01079,1778491.36747,1239392.89653,2906922.23018,2327434.41221,2587841.19302,1248076.33981,2631860.67396,1371877.64662
339.9755__47.34,2380056.47641,2136730.57598,2121842.34408,1793000.68054,1576647.01316,1693690.47376,2548385.32577,1841588.51335,1287655.59506,956820.10837,695038.9831,715254.97135,NA,NA,NA,NA,NA,8912.04758,2205806.20493,2106654.78828,2485469.24345,2712885.23152,1967512.95825,1955047.22654
341.9622__43.21,NA,NA,NA,NA,NA,NA,NA,NA,33954.33061,NA,NA,NA,948434.02983,891493.23577,611374.77621,1034377.68451,1174978.36272,1368247.8728,NA,NA,NA,NA,NA,NA
