Sample,PLASMA01,PLASMA02,PLASMA03,PLASMA05,PLASMA06,PLASMA07,QC1,QC2,QC3,QC4,QC5,QC6,SERUM01,SERUM02,SERUM03,SERUM04,SERUM05,SERUM06,WB01,WB02,WB03,WB04,WB05,WB06
Label,Plasma,Plasma,Plasma,Plasma,Plasma,Plasma,QC,QC,QC,QC,QC,QC,Serum,Serum,Serum,Serum,Serum,Serum,whole_blood,whole_blood,whole_blood,whole_blood,whole_blood,whole_blood
70.0659__41.51,16501405.54204,9306639.18715,4739761.61603,11571110.46238,7766594.2633,10488018.00402,11503260.32568,11723624.25013,12557001.87671,12040455.28694,12255942.47944,12341166.01398,18172479.34097,10502306.55811,6061083.22696,11497475.94925,13137053.88916,9353980.92877,17448640.38784,13051736.608,6574530.93096,10685347.06112,13005608.87874,9631995.98376
72.0815__43.04,152548428.63484,110361448.4982,116834736.74039,105830997.34713,129621715.20303,156328146.70839,139035097.64678,137692889.28422,143023907.86577,143247007.92836,141964973.54894,141927312.70323,159148760.78945,110949816.32827,121975839.04675,115657402.49722,113112766.21686,138137355.00341,148509810.72154,109915346.79898,112597427.20786,103963591.23927,100413961.22803,124690100.4312
72.3482__42.59,462758.56725,661379.95425,638351.70251,588173.99132,722734.74039,663532.90614,NA,NA,74477.66633,15744.87263,60669.8049,30066.29818,NA,NA,NA,NA,NA,NA,30882.96801,NA,27973.02678,30834.23551,NA,NA
74.0328__34.65,1527834.54024,1868532.1987,1312486.87584,1626497.84393,608142.87312,1693060.36813,1772861.83032,1589746.06814,1991428.23155,1801176.04597,1581202.86765,1968904.97791,131057.16351,160179.68167,125136.51474,180963.308,152685.5228,147667.95404,2532961.32361,2539711.53673,2790518.03884,3126534.49889,2995783.53438,3044021.15533
74.5312__34.64,1757008.08684,2361228.08708,1244542.72306,2154535.01385,2110632.96139,2209032.14509,2267154.32096,2071083.78591,2173029.43786,2157318.9645,2074717.45459,2065752.0671,214847.10235,203510.87883,204988.82625,210737.54616,167334.67775,214709.96097,2864295.32546,3849264.08506,3691887.84253,3840540.30078,3673982.3837,3477713.40095
80.0501__48.27,1229932.96015,2310865.9986,2298716.78671,3830942.8763,2257242.63128,1480418.59733,2110574.03166,3677073.87692,3258101.28796,1769495.24266,2348164.82012,3287276.10645,1776184.77763,2171798.97419,2363069.07951,1637657.65276,1402276.48341,3701892.35762,4095987.55472,3636403.1976,3788488.2963,3974882.11742,5473426.07452,3734609.25856
81.015__34.74,4716204.04809,5012568.36151,4903357.15512,5516803.65948,4807587.59389,4955826.15949,2800473.9458,2805810.20235,2717293.74126,2851749.63578,2824972.76089,2601312.27473,204757.84862,328458.76965,198810.39662,269571.55685,246916.48066,230866.18328,3282231.34724,2946991.60538,2722612.21204,3266685.08242,3536381.38121,2655127.22489
83.0266__34.61,8010772.10456,9218282.85795,7376158.96644,9627697.41469,8744482.63431,10469919.28777,9352985.26844,8671055.99318,9739183.53874,9499948.07141,9632179.41514,10543139.23409,NA,NA,985738.86597,NA,1111082.3969,NA,13425738.28564,15902194.34503,16073220.815,16845823.03493,16264308.72122,15059656.84305
83.5364__34.64,2119303.76529,30104444.86045,2125604.28966,2144967.85656,2250055.14874,2433380.9465,938812.13539,27848277.59081,30195347.55402,1266546.25692,1339769.50353,30339272.59431,3890759.66058,3439804.17038,3262152.49905,3267911.66284,4015180.47662,3118668.96328,39445010.33478,50033560.1148,1127593.12979,52705337.1042,47966296.99571,44770425.06975
84.0381__34.62,8613021.50655,1761577.15637,9032009.74826,10644188.43147,9745417.73828,10468863.22991,1731040.73601,1770054.86231,2043318.96492,1500168.51108,1583792.75989,10948034.16404,239860.13533,268571.08712,271731.61182,5373124.18109,1233889.30459,1067383.29675,2842232.33412,2609475.41216,2858534.20917,2958520.13554,3229349.54742,2881939.10562
85.9636__34.77,2230825.01665,2474505.63735,2298322.17345,2369127.17598,2164767.64749,2596191.74961,1413979.7945,1434420.00167,1336079.84586,1400242.54301,1425747.55743,1622897.54481,10776.8614,3851.86366,7141.52372,17817.81616,9145.75907,8065.66161,1563992.98156,1463200.09248,1466780.32994,1180073.65936,1595210.11861,1397106.03982
86.097__50.3,457855420.2738,350368435.55356,433740737.01165,197434.99638,161750.58263,516208065.48699,497909538.64509,515091897.43585,505466862.11505,510883911.76007,520994922.91234,568154665.91954,453703814.29466,542999.64262,419385009.08956,362453009.07694,452046284.13956,225496.11457,792314.25763,353152894.20565,406699145.19189,355521334.56384,436808406.05838,395702430.99283
86.097__68.47,292855729.40633,181943729.0494,246856680.06935,280650566.30062,241021170.76456,327656117.29334,267813300.519,326978461.19173,334357044.958,337109514.69681,267337534.61834,335273704.47447,362944.80374,224409024.73531,252778057.91472,201767522.50909,289082490.37036,288470683.55014,276833947.02376,184258428.39541,255775928.75659,217697935.29348,273941622.07017,252366135.8332
86.1781__50.6,123099.26361,55877.50401,137011.74541,241878.04025,264757.46495,416087.54548,556977.72466,88385.93533,114005.93048,69655.34454,NA,40342.69259,764619.06422,638621.18737,742293.41801,666856.91663,872918.59626,365926.16175,815165.46728,305000.03636,496359.34169,11397.73328,NA,NA
87.1003__50.44,25562428.81319,19600328.91542,22887620.3852,27311989.98524,22261894.01759,29035970.11176,28098580.39662,29797191.47396,28234253.6746,28567006.57261,29171964.77002,31644803.44206,25646248.50874,18861949.37034,23413870.78343,20243581.87411,25186484.70866,22887226.18333,25005779.24228,19123614.84621,22617507.63099,19746102.81181,24763898.07883,22062811.57358
88.0237__34.7,70475478.41366,74180372.39038,77821419.06218,64314782.21092,73382545.78281,71721175.84824,44928024.6609,46042630.20505,45063903.79872,42588598.47694,41963701.61183,41309351.18805,6606107.25968,8030083.25958,7250670.00776,13465153.77283,8035631.68465,8189108.13136,49785550.65702,48254888.49129,40683196.64807,40289417.23112,49752977.21489,47063720.71988
88.9532__34.67,5625737.68164,5731525.50473,5380236.33045,5587256.38868,5294794.33951,4897880.28321,3475521.80896,3435433.37703,3683213.64178,3221279.43991,3760613.9516,3540471.86475,74760.29107,142797.02494,126367.22804,1059518.16825,1091035.28897,110579.59022,3567651.15028,3562091.57543,3235834.37832,2886517.9013,3460368.33195,2781844.33585
90.0202__34.66,1836864.00518,2195164.51688,2154366.07289,1540559.30966,1600958.9536,1682422.69893,1040656.17042,844117.73152,1341274.81879,979804.53692,1173084.94502,973541.06476,385620.25497,147302.03877,144674.30084,123851.21638,142654.72189,159357.28697,1235550.48163,1362811.56648,449194.13329,319535.17979,1332279.36139,1182803.86646
90.9772__38.48,31035686.75427,31043907.79677,28486716.5353,32785694.09655,31157326.10831,29676948.62979,27168594.85296,26595012.65605,26849339.13005,26646443.73134,25425095.13723,26168932.24673,62783188.66734,63814847.9971,63637284.12378,64245192.60733,62945329.30725,62191377.18657,8831320.12834,6534653.34091,6736240.56095,7055368.69258,8398628.61455,8421136.23924
91.5428__34.69,3492339.0902,4211939.9557,3720567.55301,3880357.67196,3432883.92928,3816686.13068,2254839.99838,1988978.90917,1946896.73335,1993975.15472,2003341.26995,12679310.49777,2133368.551,2148233.46629,2255537.69316,2395557.3683,2332733.32398,1433089.28398,2440632.42751,19151585.61404,2032154.45255,1963089.68505,2330349.73812,20541558.57003
92.0405__34.65,2112983.17193,1562025.64763,2261009.41733,2375463.22205,2218722.83703,2106605.94088,2473850.3672,2379739.30705,2356766.56317,3167734.79067,2068637.87007,2161992.67948,287994.12062,284873.15067,299235.46805,250722.99088,366120.66132,476218.269,3351631.17139,3345451.99148,3664080.40703,4132199.16256,3744055.86612,3638443.53226
92.5228__34.68,13609789.90146,13216847.28936,13392088.61681,13567441.09261,1582661.10832,12221031.31796,7077645.66903,1877095.0509,2111148.20073,7276750.82088,7592460.20595,7649052.42731,406047.739,408180.01892,515768.33504,517037.53756,445401.16194,486068.46805,7876384.63633,7703159.69207,2739215.20819,6577023.00703,7953317.9939,3355611.68408
93.0158__34.66,3351453.60487,3969041.11326,3584526.36605,3182108.68185,3545439.07377,3583782.83813,2096901.08857,2104330.25502,2181735.48076,1947576.78949,1901209.50211,1762198.45468,94143.95183,138055.12997,128742.58814,125751.86073,139982.28983,108834.09623,2368064.59404,2155692.75252,1962558.82275,1909560.92304,2300278.38196,2268109.79637
98.0969__42.77,1097942.14841,2290092.2346,1133573.5598,1401927.62204,1528735.20308,1459215.60491,2352230.97471,2260213.89961,2507238.40057,2500685.45543,2422288.14116,2527118.8569,1578437.90967,1945110.20829,1487270.55352,1969417.37298,1128481.52391,1434563.24713,924602.68834,857099.575,1060219.76462,1209854.9912,1082172.73211,1283076.93536
98.9192__38.3,18246482.28657,19077778.45146,19322577.18797,18908488.90299,18969047.84041,18713549.26798,23696302.699,23733540.44383,24286882.62683,24499161.23322,23638022.71009,24153827.0733,9467044.40569,11814603.21432,10482465.00741,11293525.73908,10121839.75491,10122453.97862,21583331.12979,18193231.29074,20387913.69506,19372751.32108,21508122.36175,21780025.99925
98.9846__53.54,36296860.14803,35177485.63032,36889421.02432,35720646.5863,45504310.82788,43570985.30517,34969417.14849,33561292.45188,34447994.35813,29314051.08977,27744801.88898,26296063.72954,4574010.22043,4721601.6584,4456678.83574,4608169.397,4234697.63729,4725253.48244,41647910.72754,46062724.1389,40677358.22464,36949789.93211,40556751.77621,46041047.65244
99.0921__46.33,1306486.03365,1211751.82183,1118241.04485,1337783.42984,1416088.08946,974690.77155,1388754.30166,1540793.521,1799834.09367,1531303.87589,1573301.14118,1665663.51426,1219030.96698,1173293.67764,1152737.92859,1060050.99651,1040079.05337,1094954.88869,1537278.05567,1261116.28743,1248511.2172,1141663.6654,1185464.57818,1305281.05197
100.0221__43.79,2931276.17652,3153965.80215,2430005.96154,5325649.3824,3116634.65477,3640325.10058,1247096.01669,1166417.54459,6283081.62344,6095675.65545,5484127.88126,6215486.31499,3250117.90545,2424946.99015,2830829.54125,1855437.93851,3179932.69686,1742501.12228,53391.49758,49264.76904,11490.36744,15740.34819,206877.12216,35078.38808
100.0761__104.27,23021611.83473,7175937.15932,8320100.73058,19510385.29959,59058209.15622,6631205.85554,27901518.19167,27915225.9803,28064750.63152,28492394.18328,28498946.23693,29041871.83843,22641975.71979,7105433.70639,8675611.6172,8683378.1935,25213933.76961,60495151.94964,28592529.10968,12135161.42121,14137579.03335,15628760.46904,29559068.41537,41542709.64077
100.9175__38.11,1282962.29556,1487495.80005,1318824.79562,1018305.53255,1359042.35695,1226874.42895,1918620.36358,1689095.65008,1621547.89329,1687372.72996,1794253.49815,1594264.14006,455646.33655,718682.03403,663435.16551,505772.05337,2477192.20378,481780.95317,1282327.47583,1288439.18979,1377790.13575,1339988.07408,1448055.78987,1434968.46381
101.0281__10.23,375165.87003,351797.48022,339281.94754,354833.67576,468874.53431,469715.55613,322781.13515,19321.20338,104777.55127,403263.21521,389892.44144,135518.51207,47862.4499,357394.37749,326757.75017,335146.489,340251.2592,353941.40215,354041.83254,341469.72175,349791.5294,337140.89714,429475.47198,346483.36921
101.528__34.72,5384655.43495,5581775.51905,4881818.42874,5217311.37558,4916253.23423,4949277.7956,2834434.05301,2602221.28247,3362827.19674,2890676.85222,2786480.80394,3278959.40655,410751.09287,463605.76266,497968.63795,484616.1729,466454.8077,479889.91302,3502031.54766,2892612.93781,3601298.37143,2880800.23328,3138632.93672,3354934.38338
102.0342__34.64,280980073.41258,283747324.12825,261989981.57846,274417856.71525,262983021.03105,267843436.40216,165284990.24842,168944219.97726,168485413.26691,163571593.26545,153409496.04237,162547309.79028,2770328.02455,2796318.83353,2404367.51066,2367690.51571,2837959.23403,2402928.16647,172806914.16481,158227077.03691,163972860.99002,148032999.91717,157203628.44278,159330877.15903
102.0918__42.98,2497887.10162,8413018.92882,2100085.8672,2310365.60324,2563626.85952,2351846.75857,2245668.27968,2635419.42181,2552420.47746,2370528.58732,2143613.67511,15702471.93684,7457234.92076,6865775.46126,7942006.54794,8389087.41879,9560799.20246,8124275.64976,2185704.58689,2185384.96847,2746469.82861,3195623.0639,10534534.63743,11667106.08113
102.5359__34.67,22826257.29657,25557179.55322,22531807.00829,24228465.68367,22251645.96959,22862769.10014,14303854.96358,14631639.71123,14463801.28326,13947649.09047,12727256.03371,13741274.20517,890764.2453,879393.04659,995267.09994,1143523.58853,967647.95524,975549.88161,14703498.50413,13782144.44373,13858773.06671,13056380.32974,14050750.98,13375074.13365
103.0855__42.57,NA,NA,NA,1188397.41552,NA,NA,1034824.14206,756798.24426,NA,761229.60916,908575.49895,908085.1688,NA,NA,NA,NA,469886.44301,NA,1230839.27721,NA,NA,1145283.04858,NA,NA
103.5483__34.61,398830.56476,678944.62835,590021.42027,746757.2708,865624.41861,543699.64304,476722.05156,1099473.72636,720923.39686,884040.98993,505373.34365,1044226.71473,148638.09361,175151.31715,203941.26618,185910.21804,198336.93669,156343.61908,1615867.41721,1308530.63168,1607658.84634,1325195.89113,1654025.79937,1661957.55569
104.058__104.42,1059637.23051,709104.38811,747247.03026,1387486.15725,1230522.88964,897210.61437,1072129.96784,855379.86435,875011.27553,874704.14369,840797.81907,1179506.93615,1190050.7579,718931.49641,1006511.0484,1145846.19477,1487818.48143,1111250.83131,624564.37658,700381.52663,614251.04367,682470.13378,1070030.20146,883973.00026
104.058__79.97,836621.80288,684918.94691,728177.87587,1300588.02885,910119.39098,1038770.56939,732959.13733,912314.36688,846026.87551,910247.70095,959496.13019,1017882.98952,957129.06905,785717.3046,903663.99371,873647.20332,1254646.01502,1088791.49377,252482.97543,685468.04452,672340.70501,620367.06099,860113.1965,893703.10082
104.071__41.58,2955697.67109,3575258.06209,2869474.10548,3495714.0233,4092904.87977,3904028.43973,3441974.2637,3823149.19776,4093402.64283,4091809.63538,4217987.45313,4038251.51263,2965144.49964,3709341.78952,2502395.19932,3704779.73828,3387809.59093,4620846.68288,3077873.91736,3039318.88769,3050522.04052,3570146.9145,1879260614.5481,4372228.59431
104.2152__39.68,NA,NA,NA,33655.12809,NA,103710.77017,1136908.18426,NA,51540.14339,544227.48466,NA,NA,462023.93247,835046.09063,978018.58879,977916.61151,857033.96144,416169.01354,2692837.87735,3098750.00067,1402201.47391,NA,523962.4333,81019.20359
104.9926__39.92,2446667.15756,2779400.06481,2349082.85969,1994649.39756,2255870.78746,2333755.77665,1975987.73587,1875287.95497,1768276.1595,988997.58218,2159050.20855,1912709.8738,4516548.29287,4558470.6744,3768974.11683,4175688.84656,3377741.41423,3904611.13287,832185.40052,419351.64084,385981.33133,603845.33709,234769.10358,567220.4034
105.0036__34.67,3168886.82914,3274445.07395,2883622.4101,3358523.13267,2719129.04828,3200966.93731,3667980.78431,3523138.66882,3650148.69029,3763813.68961,3286061.71403,3578526.24976,347560.44007,341318.3638,337330.08292,313793.16856,314079.18804,346620.72037,5056113.93649,6048816.67149,5230777.5679,6206434.23779,6567934.95399,5838692.10274
105.1106__40,15961850.40833,17704907.4803,17266433.51907,16059881.45335,16892786.74956,14498877.43542,63967079.77767,63552419.93423,63410908.03021,64993607.70146,63159887.43464,63717995.51057,29016681.38641,30539588.22856,36829111.06769,32836285.91107,30453238.58309,31547073.41192,84286888.8997,95865275.11399,67189052.48803,65550402.76786,102156058.57152,84159473.61728
106.9509__38.59,4196851.19994,4551385.93579,4234519.6438,4029933.6336,4062661.33908,4060933.30012,4174657.25152,4312283.44439,3947083.15147,4129003.88957,4083540.36453,3898492.04875,1356000.2734,1805772.86003,1332353.10651,1598227.82564,1182488.22685,1477823.79363,3033852.18551,2299256.4718,2390018.96058,2274575.86362,2388092.24968,2722185.56783
108.5368__35.09,4348470.6253,3878781.31497,3495877.95114,4288338.50577,3751513.08721,3695213.87109,2265958.83479,2560220.20086,2485770.48455,2759988.09221,2517303.07451,2234173.96595,299612.95597,324776.09665,282060.92227,341492.55107,279450.92779,310525.2066,2542113.81718,2589804.38196,2218986.36302,2281171.65161,2871845.40529,3126258.54769
110.0604__42.86,1267969.44019,11730662.62239,12821518.66462,11524921.20902,5671157.53927,10434460.15716,4908673.51114,3092650.72339,3257324.44058,3777602.91659,3746399.40738,3571546.18311,764134.17117,4186344.8855,925439.99,9682134.08294,6107826.12211,861469.17841,1628370.95128,3073924.50502,1628589.80474,6852128.45824,4717740.82481,1452574.37445
111.0236__47.73,1195393.89943,1284750.80118,1251009.68351,1305011.7921,1387649.56204,1137638.33927,1269750.09996,1238504.81573,1216912.65489,1259983.93398,1066177.85135,1245235.39763,1326445.15044,1582769.60762,1559575.34115,1495273.29957,1586985.39138,1383095.28515,1291461.86967,1447944.70976,1287923.40203,1383649.60519,1196845.71121,1196842.84923
112.8961__38.53,59739172.00406,65429447.47377,67678823.93983,55999135.95803,56193574.52502,64521600.53127,86819290.24493,87884499.28294,87542358.02589,89975600.96085,89185534.27101,88724755.81189,4275434.21755,5866903.49665,4356840.62499,5326954.16061,4544881.2702,4442078.232,213528986.06369,208310321.52876,236726112.17232,219555187.71626,232518158.95442,209165696.18829
112.9671__11.61,1495803.56806,1452799.0876,1476465.72263,1400281.69514,1383015.92254,1313335.61541,1447093.9408,1418767.29802,1445832.0082,1421083.6497,1592410.21624,1272720.37703,1380090.31899,1395294.21986,1288917.79601,1368623.1903,1386644.12623,1477869.19329,1343817.20342,1406362.59159,1242290.86906,1356357.04659,1185327.7348,1301514.496
112.9671__29.48,915174.89085,909962.03702,912441.55722,912295.70989,921347.40269,885907.83566,1175078.01866,879878.41616,1145813.42775,1099316.59846,875586.42304,1186118.79149,1351883.00968,1096857.28169,1040071.24538,1063588.8157,1039748.96079,1407897.08133,853943.44892,840544.19823,951611.30406,851355.42287,1301462.12106,1140315.30717
113.964__29.76,81612755.81967,79631829.90841,81427987.41668,80815172.52132,81040153.38695,81490312.53215,83650642.65568,83592266.73305,94049554.73424,80634657.13613,89580658.27385,86848787.65168,94468496.4125,95221869.16821,95567454.0465,96634126.44458,92194440.57225,95008491.45609,88106755.5301,85901964.46184,77821614.64157,78380843.6614,80002998.51142,75360216.25106
114.0403__46.64,1304587.79248,1347427.40686,1147891.36599,1288312.70274,1300635.91536,1178052.84372,1116674.07276,1397839.39865,1122416.24346,1310284.83793,1303690.54609,1444312.02106,1158432.5126,1168644.18354,1090738.61425,1207262.98819,1187573.47902,1242154.86462,1461797.03482,1596042.99878,1503455.25377,1711901.21225,1593133.4625,1574589.73855
114.0665__41.41,163113330.72903,144562492.37329,118903772.20791,149346756.52069,163395395.48348,160044320.62205,142999224.99058,139066938.17102,146688635.99675,143606845.89762,149306199.23729,144463415.98653,148407938.34141,135645315.374,119120257.97489,136372465.04598,139834899.44854,146930600.56188,143650365.36147,122548533.88299,120022857.38155,132839538.80362,136381905.82944,141309931.60391
114.5586__34.58,1461626.23887,1806206.26704,1432366.87956,1906220.60903,1801757.55298,1981538.09611,2447627.45287,2248025.77974,2120102.82566,2148321.81578,1880674.26793,2030401.40695,1352162.6204,1195791.22213,1382019.07805,1271340.62001,1289772.02186,1136547.90688,2567668.88954,2690664.83514,2900369.7687,3197412.97105,2968909.17095,2738833.60696
114.8931__38.33,18249672.28448,19309196.01389,20788675.17868,16335979.59626,16803672.38383,18816312.58749,27549572.51914,23271705.50371,21500537.68312,24608556.35247,28720546.15645,26985315.15795,1123420.13721,1237668.12767,754749.95955,1364477.84526,969302.20067,799368.64589,76574647.02388,74538633.7877,88983981.00587,78332239.143,80968143.88405,81562613.03676
114.9718__26.31,9084528.34326,5011618.29844,5567123.74943,3329878.23385,9627209.98168,9064876.21223,5199049.36444,9108958.77989,5606192.44125,9845335.72863,4679025.27203,6542966.66346,4021728.73692,8751045.92579,4072758.08062,8530281.0591,1864083.79553,8287865.80517,3605138.01895,9844040.70878,10783221.1317,10022439.88936,4589253.01143,10549842.12622
115.9643__11.88,1742802.42608,1747936.53874,1608888.82484,1838902.15799,1718214.94064,1247526.11052,1742038.43522,1641077.56709,2189386.47467,980329.30453,1954216.64037,2374638.94192,1923929.04462,2085258.58803,2141552.89292,2151769.05491,1299645.71125,1715248.71527,1469235.94798,1840150.90247,1771697.23337,1078544.95121,140533.68731,1773601.90081
116.0021__34.55,24651406.60688,25420602.3231,28318192.37001,25202202.73214,24028425.7111,24932433.92651,16103076.19514,16712962.11837,16188838.01715,15524321.31421,15897524.37392,15556120.54906,1453025.82016,1378407.84433,1526926.27246,1377754.81434,1475643.15313,1153984.25039,17166108.63803,16123451.95333,14721980.05982,14950285.61321,15781781.3841,15863207.5164
116.8911__38.47,2292175.35577,2612212.26808,2840892.69059,2480125.96381,2322304.30888,2625655.93103,3945300.69241,3904184.85438,3526932.96744,3778673.6619,3701167.33213,3654419.37031,62155.23333,21561.50998,23317.96751,17326.10366,56553.75186,NA,10115395.1075,9584951.47404,10754026.6111,9950094.09746,10749249.67509,9719941.47755
116.9665__27.29,2720200.41279,2802524.18761,1897767.8344,782955.1504,1567887.34739,2707607.4892,2803461.69597,4991076.97708,4513078.14172,1061080.24386,2847385.19276,1170674.38968,5536423.2918,4895475.04358,3034642.84088,2118490.50675,3008776.30566,3100330.18727,2804277.14362,709119.89161,2700244.5725,2503134.87122,2652979.54012,4386185.97249
117.0742__41.46,17709791.77005,9603084.53153,5256752.11989,12221032.95516,8986873.37041,11242792.3148,13044549.1406,12531259.84154,13370861.12918,12945140.84228,13723179.13475,12835922.28681,19947242.72881,11419933.68348,6678740.70676,12475808.27056,14496842.59657,10180549.29751,19076679.10785,13828011.421,6122963.60024,11902230.37511,13890359.92206,9236917.56317
118.0865__42.34,19864556.74234,23381989.37684,28035078.58038,29145192.13879,24109107.60873,21592464.56928,210391731.52511,207742319.88708,415972792.28848,400784503.49087,398324949.23761,206524127.91414,26811200.93062,276222263.65005,250399421.04621,26659840.70168,31753498.1718,359556056.9754,474670096.28668,321410487.00499,332527633.85463,401988721.69893,347865952.37485,416799860.56536
119.036__9.45,396096.84201,338372.34706,365318.08286,288478.7385,57201.15823,246800.43798,404775.58064,444218.62962,310802.87145,506786.1762,910397.92848,33229.06875,319201.34426,542809.60085,428752.3388,276054.18658,233023.67523,641166.25655,596017.30258,176947.3486,998216.63239,588856.5943,331043.73214,448042.17217
119.036__34.62,2318730.07948,2542388.64835,2484414.743,2382619.20955,2292933.27791,2287939.82872,2830123.89285,2920741.76535,2738415.69883,2674846.60113,2598158.32085,2849381.39592,432043.7628,397968.49106,443102.2533,397197.95258,411275.51815,420686.63862,3434788.29646,4226924.56209,4129777.22134,4402356.97963,4109118.41316,4135818.19616
119.0494__59.65,6910648.96818,5345088.27009,4312683.44214,7179823.39196,7257855.37009,9783996.07657,7413127.61753,7586066.645,7765984.05749,7695207.39517,7671465.39914,7637980.47915,7173592.7641,5931475.86305,4866361.05997,7613651.43506,7725920.79623,7974530.94939,6065987.4677,4406787.49119,3745995.10097,5862552.11078,6615261.06255,6488560.51564
119.0733__80,1568140.17046,1300953.54582,1397191.80784,2634043.16725,1749079.13302,1803586.04204,1646688.72505,1637693.6218,1651558.50862,1650548.90651,1807271.61805,1794421.40616,1696092.36237,1270263.35142,1644627.55952,1749132.81888,2321393.89624,1656770.47121,1366263.3077,1107441.5633,1115715.68649,914288.72895,2311247.37216,1571399.94949
119.0733__104.34,1690633.81715,1455243.4662,1243851.65195,2322940.07847,1738140.72054,1940875.2057,2161861.6246,1769065.72915,2058391.49593,1579549.84134,1660385.99272,2342831.00725,1557872.29274,1322603.29574,1923515.35175,1514333.9498,2902585.38464,2047376.46694,1093595.02469,1353328.58458,1096242.6386,1279875.47221,1921700.64143,1498472.43048
119.0898__42.67,1167348.48891,3868825.7215,2265337.55131,5761790.66545,3623525.96981,1384693.79234,3800326.62578,3577962.24148,3761386.61299,23212031.29234,14223581.24139,3804643.59793,22492426.31654,14489206.6305,13508667.90298,13458994.38208,2020191.84618,1924826.91205,1363948.56733,1000967.52706,1450470.96703,1789734.47317,1294904.86875,1722383.44248
120.0034__39.1,1344197.40086,844347.16897,735405.54361,1864254.80007,1998765.28244,691694.85041,1253920.36559,1154515.84568,1346350.1069,1182342.87822,1189491.25241,1222601.14639,3061368.65584,2243107.78665,2765871.50837,4545310.97849,4493422.96627,5158679.49264,461238.753,89487.37076,166978.58108,228993.30175,387688.10815,469529.48295
120.0238__23.92,85095927.73182,84590145.39397,72262490.05611,142019822.38412,147338919.2931,147431886.46084,146711219.00217,141821384.76234,145601388.86968,144884774.86697,152219138.35672,142530999.49371,140343188.1373,140758452.65991,141514169.7125,143015474.90378,387073.23006,142576470.3378,147995819.96865,160946488.50026,87578650.14478,72011104.34875,155284689.36516,143210692.78012
120.081__104.46,314820776.07478,275850644.08006,289923104.89999,438884755.35169,344473897.77731,387419050.50272,371581150.67879,390407940.72805,376238308.40654,348822936.95293,375300721.21208,334722983.87703,326606721.44714,338525313.37187,361519388.64043,488797.5044,677572056.28889,386648791.49629,415856.33862,240751385.05081,245731367.05042,257860725.15257,387717298.88502,316432506.54912
120.081__79.96,345239366.78992,282728858.40539,293976279.83258,491441640.86347,370542368.69788,383750919.81221,370569091.72249,362616899.49356,372989031.32595,371457303.63592,376125511.0396,379005397.19984,362473290.17391,299146318.32147,351712578.59055,349592750.40767,502785257.0825,413193535.09997,300538012.2519,249129355.70421,250519984.06152,265481750.65786,435716447.13349,328431220.65821
121.9746__38.22,257774.47573,210855.87775,177348.41726,196358.447,214296.64798,175796.57046,256254.91154,243042.88713,309617.60456,251568.35858,187904.84841,151567.55438,959707.45808,959712.22065,1147404.36369,1000083.10287,1171596.99721,1066623.58628,14007.67799,NA,26603.91986,NA,29057.52466,14985.90769
122.0195__25.18,39538563.91367,37879492.53925,19537221.0352,40895299.35414,38972318.00096,14126685.94839,23123752.0462,37345367.20697,24313994.60142,37872995.68271,40559108.84559,42175435.22281,25029234.30121,36576441.07891,36570839.35603,36590758.59853,36406381.50365,36416067.30879,25225376.92707,38011398.86689,23806872.99559,37612133.14623,40619820.14792,38372152.93997
122.5474__34.68,24611365.22607,24705730.35778,24305931.84446,25440275.6471,23513038.67023,24134239.83331,18789614.74776,18794248.29831,17535166.85037,17318038.56071,16650906.52959,15717839.29335,2919550.2094,3127288.32144,3224898.33695,3221918.79277,3404390.04007,3301723.84089,16329245.42766,14571017.1649,15116559.14134,14541596.81323,14757944.76511,15084793.03709
122.9248__38.88,4028734.71038,4766466.87896,4142636.71016,3901949.7677,3334738.36519,4606033.65902,5212685.90422,4725228.06267,4996079.84389,5054465.40511,4604093.37263,5027534.35049,51552.16657,98444.33091,40926.53672,75288.96942,13745.92723,18457.74627,12603431.17433,12341169.6568,13620359.64372,12780170.18055,12798281.95478,11097442.50121
123.0406__34.64,184605840.61515,200442297.338,171935478.71427,216611085.4499,184718264.48184,202357110.44122,210331880.0085,207066696.36656,223064785.65218,216895815.53488,208594567.47537,232156808.63157,22261452.27458,22682452.56813,22221324.05867,22107404.20455,30404183.68551,24098789.04045,1777102.91926,2087450.72323,1991147.01108,2328483.53918,1987170.79979,1842811.48747
123.0443__44.19,13230560.25531,11481748.0344,8863299.55615,13443342.4935,15348337.92995,20126691.33706,16504980.52104,167818422.88956,637512.83156,712419.15868,15781507.38768,14727136.66092,15308003.3734,12401408.43807,10241250.07137,15779084.63236,16017611.70973,16289934.01287,351153984.23283,442640233.13859,542584917.71664,488221013.0819,463014404.14784,416387500.03283
124.0588__46.47,43667.69029,106912.2842,105831.89749,2385561.72693,22514.22574,2401578.95696,10788826.95745,10897438.52588,10384566.22098,11113269.49261,11134260.16651,11748810.16763,63499.61561,1619846.45249,162791.85466,3703750.2954,2130869.84059,120344.59473,22838327.01674,28925609.31658,35452639.95746,31875480.3187,30389861.56328,26670229.68004
124.9229__38.66,411630.32987,648309.31561,473592.43194,472979.98128,473377.40219,536455.1289,467441.47464,494580.40776,608752.79796,587212.16214,320825.64258,505470.92798,NA,NA,NA,NA,NA,NA,1632057.54541,1740281.15512,1797571.95991,1782178.01579,1532241.45552,1573292.1182
